date,product,customer_id,units
2022-01-01,product_a,d5fec242-ad85-4d07-bbcd-d0b2e57dd50d,2
2022-01-01,product_a,5d2fc83e-b78b-4cde-aa18-a4415b50ea89,11
2022-01-01,product_a,25d9c44b-6473-46b1-8900-78791497a237,14
2022-01-01,product_a,61f7506f-58b3-4316-b827-30d599f0e811,8
2022-01-01,product_a,c340222c-a14f-4df2-9a79-57e0aa356590,23
2022-01-01,product_b,6447a51e-6258-44cc-acb5-737f72124abb,32
2022-01-01,product_b,3b21a604-cbfc-4a00-b658-99c4ee2a82ae,203
2022-01-01,product_b,506fb5b1-a33a-46fa-84da-c58f044f9f35,13
2022-01-01,product_b,b1ba06d1-95be-48cf-bc84-24c12795246c,53
2022-01-01,product_b,8a94603c-1b06-404c-89cb-e920b5cfcfae,69
2022-01-01,product_c,25d9c44b-6473-46b1-8900-78791497a237,12
2022-01-01,product_c,3b21a604-cbfc-4a00-b658-99c4ee2a82ae,1
2022-01-01,product_c,741eaad9-07ec-4251-b591-fb178f8043c6,38
2022-01-01,product_c,b11fc97d-586b-4a43-92db-8444f69cc813,7
2022-01-01,product_c,20a9e2a3-af1d-4ba2-bd59-220729c406b8,104
2022-01-02,product_a,25d9c44b-6473-46b1-8900-78791497a237,96
2022-01-02,product_a,e7a60c2a-3ab6-4fa8-a817-bf5f2a99b0e0,51
2022-01-02,product_a,b0df5d82-0832-4fa3-98c0-8d60f20c730e,117
2022-01-02,product_a,b11fc97d-586b-4a43-92db-8444f69cc813,4
2022-01-02,product_a,8a94603c-1b06-404c-89cb-e920b5cfcfae,74
2022-01-02,product_b,4a0450c6-36fb-4543-aac2-c96badf099cf,23
2022-01-02,product_b,e7a60c2a-3ab6-4fa8-a817-bf5f2a99b0e0,5
2022-01-02,product_b,802a3025-804b-4bb5-bc74-85108cda6a68,30
2022-01-02,product_b,27531b5f-a25f-4d84-9081-fc3bd45b45ee,6
2022-01-02,product_b,d12a2f18-0693-444a-980f-9b7e6b14ed33,0
2022-01-02,product_c,36530cc6-3622-4357-9e33-dc6a2a7b2895,2
2022-01-02,product_c,a586db9b-4807-433f-ae8e-ad17f976383a,3
2022-01-02,product_c,209520bd-4e0d-4542-a383-45ce7b8c73da,45
2022-01-02,product_c,ebd93d98-05aa-4e1c-b91c-ee06126e60fe,10
2022-01-02,product_c,24000dd5-f3ad-45d4-afae-94f503d9efdc,4
2022-01-03,product_a,8c16e2dd-2aec-49fa-8c9d-a7d2db5f3ce7,6
2022-01-03,product_a,8448947a-d42c-454f-a560-396ca8a27223,0
2022-01-03,product_a,cbc37494-c91a-42bd-9599-8d3c12a63c16,3
2022-01-03,product_a,b8044ac8-9251-4e60-946e-373211466939,2
2022-01-03,product_a,6fac0495-3d42-43de-998a-705a5f9cdffa,1
2022-01-03,product_b,339960b7-1473-40e8-9d60-d74a83ff835e,76
2022-01-03,product_b,ea66eb12-6ee3-48ae-b807-a179ea254890,122
2022-01-03,product_b,84620d24-f080-4d96-8d11-b8282a92e43a,91
2022-01-03,product_b,a586db9b-4807-433f-ae8e-ad17f976383a,2
2022-01-03,product_b,24000dd5-f3ad-45d4-afae-94f503d9efdc,133
2022-01-03,product_c,8013c11f-cf27-426e-bc38-5e94c905ddc4,13
2022-01-03,product_c,1a08112c-b89d-4596-9828-ce1680258eb4,50
2022-01-03,product_c,4afca6a5-b002-44b5-95dc-483c683c45cc,63
2022-01-03,product_c,6447a51e-6258-44cc-acb5-737f72124abb,40
2022-01-03,product_c,3223991e-5673-4586-9ff1-d611bc592715,28
2022-01-04,product_a,b0df5d82-0832-4fa3-98c0-8d60f20c730e,9
2022-01-04,product_a,80b46bb8-908b-4e9a-a6ca-f56c43d8beb7,109
2022-01-04,product_a,53e9b3d1-88e3-4a34-8c84-d68e572a13e9,40
2022-01-04,product_a,b11fc97d-586b-4a43-92db-8444f69cc813,23
2022-01-04,product_a,691b9cf3-5edb-4d89-98fb-b6c454371a87,28
2022-01-04,product_b,cc3a1980-e391-4d90-870d-223b535e1ae8,1
2022-01-04,product_b,691b9cf3-5edb-4d89-98fb-b6c454371a87,2
2022-01-04,product_b,b11fc97d-586b-4a43-92db-8444f69cc813,0
2022-01-04,product_b,8448947a-d42c-454f-a560-396ca8a27223,0
2022-01-04,product_b,b668885b-5072-4b5f-be41-00df83c4dcd9,1
2022-01-04,product_c,46751c6d-95f9-4656-9f4f-8645b28db7e7,1
2022-01-04,product_c,3a10cb9c-83dc-49f7-a342-c3ce9d35c459,16
2022-01-04,product_c,95fbff9c-82c2-4b08-8446-e948a91daa8b,253
2022-01-04,product_c,c635f12c-74ce-4f5a-b9c0-8eb215b38a31,227
2022-01-04,product_c,7cbedc72-29a4-49d3-a437-2152e79c9e7a,100
2022-01-05,product_a,691b9cf3-5edb-4d89-98fb-b6c454371a87,37
2022-01-05,product_a,3a10cb9c-83dc-49f7-a342-c3ce9d35c459,110
2022-01-05,product_a,3697d442-f081-45c4-9a3b-dd9a239e68c8,104
2022-01-05,product_a,170667ae-61bd-47b9-b75e-5a79ced53d9d,21
2022-01-05,product_a,8448947a-d42c-454f-a560-396ca8a27223,98
2022-01-05,product_b,3a10cb9c-83dc-49f7-a342-c3ce9d35c459,30
2022-01-05,product_b,7bf1147c-eda4-49c7-9b08-4ecff2808ec2,1
2022-01-05,product_b,bf61abb4-59be-484e-a95b-bc0922111055,3
2022-01-05,product_b,ef98a97f-aeff-4fb9-890b-bde6de9636fc,8
2022-01-05,product_b,b31fff8c-77cd-4e9f-bce7-3682e94aadd5,7
2022-01-05,product_c,8c16e2dd-2aec-49fa-8c9d-a7d2db5f3ce7,8
2022-01-05,product_c,5a45cd8b-76f5-4462-aa3c-88bf90e923cf,8
2022-01-05,product_c,53161a52-7c4b-4f34-abff-cd540cd97d75,1
2022-01-05,product_c,075b683c-5311-4ae7-a340-dca12d785bf2,8
2022-01-05,product_c,8448947a-d42c-454f-a560-396ca8a27223,16
2022-01-06,product_a,36530cc6-3622-4357-9e33-dc6a2a7b2895,5
2022-01-06,product_a,b31fff8c-77cd-4e9f-bce7-3682e94aadd5,46
2022-01-06,product_a,5d2fc83e-b78b-4cde-aa18-a4415b50ea89,2
2022-01-06,product_a,4afca6a5-b002-44b5-95dc-483c683c45cc,7
2022-01-06,product_a,b8044ac8-9251-4e60-946e-373211466939,13
2022-01-06,product_b,6989bcfb-9991-4a20-814a-c75687ba723f,52
2022-01-06,product_b,b8044ac8-9251-4e60-946e-373211466939,9
2022-01-06,product_b,ea66eb12-6ee3-48ae-b807-a179ea254890,31
2022-01-06,product_b,4cf1aa46-c4aa-4fd0-91bf-266eaca75f4c,16
2022-01-06,product_b,ed7ab174-a673-4f25-a477-a8b3293ab84f,22
2022-01-06,product_c,0832e557-3263-41e9-86de-5244c7ee4806,54
2022-01-06,product_c,91b4355e-e8c5-4ce6-841a-de0f8cf7660d,107
2022-01-06,product_c,b0df5d82-0832-4fa3-98c0-8d60f20c730e,32
2022-01-06,product_c,b36680e5-2bde-4dec-bbd9-4b685b5955c3,38
2022-01-06,product_c,b1ba06d1-95be-48cf-bc84-24c12795246c,36
2022-01-07,product_a,0012705c-4fec-48c2-9d97-0d206c972b32,14
2022-01-07,product_a,4cf1aa46-c4aa-4fd0-91bf-266eaca75f4c,21
